Sorszám,Adószám,,,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
18331,19915373,1,5,MEGYASZÓ KÖZSÉGI SPORT EGYESÜLET,3718 MEGYASZÓ ALKOTMÁNY UTCA 2.,"63,084",6,"584,111"
18332,18434602,1,5,MEGYASZÓÉRT KÖZALAPITVÁNY,3718 MEGYASZÓ ALKOTMÁNY UTCA 2.,"10,971",2,"304,750"
18333,18646205,1,18,Megyehíd Értékőrző Egyesülete,9754 MEGYEHÍD SÁRDI UTCA 9.,"96,589",11,"487,823"
18334,18895629,1,18,Megyehídért együtt Faluszépítő és Fejlesztő Kulturális Közalapítvány,9754 MEGYEHÍD DÓZSA GY. UTCA 2.,"144,194",15,"534,052"
18335,18897865,1,18,Megyehídi Hagyományőrzők és Szociális Segítők Egyesület,9754 MEGYEHÍD DÓZSA UTCA 2.,"103,753",14,"411,718"
18336,18563849,1,9,MEGYEI NÉPFŐISKOLAI EGYESÜLET DEBRECEN,4100 BERETTYÓÚJFALU BAJCSY-ZSILINSZKY U. 27,"5,160",1,"286,667"
18337,18055335,1,41,Megyer 2000 Alapítvány,1044 BUDAPEST MEGYERI ÚT 20/A.,"2,440,222",127,"1,067,464"
18338,18221929,1,41,Megyeri Tigrisek Sportegyesület,1139 BUDAPEST BÉKE TÉR 7. FSZT.em. 2.ajtó,"339,047",26,"724,459"
18339,18451195,1,6,MEGYESZÉLE KULTURÁLIS INFORMÁCIOS ALAPITVÁNY,6785 PUSZTAMÉRGES MÓRA TÉR 5.,"7,872",1,"437,333"
18340,19087289,1,43,Megyünk tovább előre Alapítvány,1096 BUDAPEST SOBIESKY JÁNOS UTCA 36. 1.em. 2B.A.ajtó,"524,811",36,"809,894"
18341,18986484,1,8,MÉHECSKE KÖZHASZNÚ ALAPÍTVÁNY,9011 GYŐR LEHÁR FERENC ÚT 101.,"296,061",20,"822,392"
18342,18362583,1,3,MÉHECSKÉK SPORTEGYESÜLET,6300 KALOCSA BAJCSY-ZSILINSZKY UTCA 2.,"267,054",19,"780,860"
18343,18733451,1,5,Méhek Az Emberért Egyesület,3888 VIZSOLY MALOM ÚT 74.,"44,956",9,"277,506"
18344,19350994,2,41,Méhes György - Nagy Elek Alapítvány,1027 BUDAPEST CSALOGÁNY UTCA 23.,"85,796",2,"2,383,222"
18345,18017159,1,12,Mehetnék Turista és Sportegyesület,3170 SZÉCSÉNY LIGET ÚT 23.,"10,620",1,"590,000"
18346,18869420,1,8,MEHLMANN Kézisuli SPORTEGYESÜLET,9024 GYŐR IKVA UTCA 3. 2.em. 7.a.,"188,454",23,"455,203"
18347,18779439,1,14,MEISTRO Lovassport Közhasznú Egyesület,7400 KAPOSVÁR . . 9282.HRSZ.,"189,407",23,"457,505"
18348,18168987,2,42,MEIXNER ALAPITVÁNY,1155 BUDAPEST TÓTH ISTVÁN UTCA 111.,"728,500",58,"697,797"
18349,18321847,1,2,Meixner Diáksport Egyesület,7700 MOHÁCS KÓRHÁZ UTCA 1-3.,"260,969",23,"630,360"
18350,18231289,1,43,MELANOMA Egészségügyi Alapítvány,1126 BUDAPEST KIRÁLYHÁGÓ TÉR 2. 1.EM.em. 2.AJTÓ.ajtó,"225,285",9,"1,390,648"
18351,18474093,1,6,MELEG ISTVÁN ALAPÍTVÁNY A KÉMIA OKTATÁSÁÉRT,6721 SZEGED TISZA LAJOS KÖRÚT 6-8.,"548,904",26,"1,172,872"
18352,19298393,1,13,Meliora Alapítvány,2170 ASZÓD PAPFÖLDI ÚT 7.,"38,038",5,"422,644"
18353,19026143,1,2,MELITTA Szabadidő Sportegyesület Pécs,7624 PÉCS BÁRÁNY ÚT 32.,"100,295",8,"696,493"
18354,15372332,2,9,MÉLIUSZ JUHÁSZ PÉTER KÖNYVTÁR ,4026 DEBRECEN BEM TÉR 19/D.,"205,128",19,"599,789"
18355,18742538,1,41,Melletted a helyem Egyesület,1013 BUDAPEST PAULER UTCA 11.,"3,728,197",308,"672,474"
18356,18880175,1,18,MELLKASSEBÉSZETI ALAPITVÁNY,9700 SZOMBATHELY MARKUSOVSZKY UTCA 3.,"285,897",17,"934,304"
18357,19049900,1,3,MELLMÜTÖTTEK BÁCS-KISKUN MEGYEI EGYESÜLETE,6000 KECSKEMÉT KÁPOLNA UTCA 8.,"159,101",16,"552,434"
18358,18654642,1,13,MELLRÁKINFÓ  Egyesület,2016 LEÁNYFALU KILÁTÓK ÚTJA 24.,"4,308,283",385,"621,686"
18359,18593145,1,10,Melódia Kamarakórus Nagytálya- Maklár Kulturális Egyesület,3398 NAGYTÁLYA PETŐFI UTCA 23.,"180,192",15,"667,378"
18360,18848830,1,14,Méltó Életért Alapítvány,7400 KAPOSVÁR SZÉCHENYI TÉR 8.,"196,042",15,"726,081"
18361,19360852,1,13,Méltóságért Alapítvány,2092 BUDAKESZI GERINC UTCA 102.,"75,172",7,"596,603"
18362,18864597,1,17,MÉLTÓSÁGGAL AZ ÚT VÉGÉN HOSPICE ALAPÍTVÁNY SZEKSZÁRD,7030 PAKS KERESZT UTCA 23. FSZT.em. 3.ajtó,"214,913",18,"663,312"
18363,18148185,1,14,Mélyben és Reményben Alapítvány,7400 KAPOSVÁR KISFALUDY U. 38,"838,671",71,"656,237"
18364,18342918,1,3,MÉLYKÚTI LOVASEGYESÜLET,6449 MÉLYKÚT RÁKÓCZI U. 13,"75,539",11,"381,510"
18365,19039152,1,3,Mélykúti Önkéntes Tűzoltó Egyesület,6449 MÉLYKÚT PETŐFI TÉR 1.,"537,826",66,"452,715"
18366,18650040,1,3,Mélykúti Polgárőr Egyesület,6449 MÉLYKÚT TAVASZ UTCA 54.,"47,540",5,"528,222"
18367,19972192,1,3,Mélykúti Sportegyesület,6449 MÉLYKÚT TÓPART UTCA 57. 4.a.,"21,330",2,"592,500"
18368,18353798,1,3,Mélykúti Szabadidősport Egyesület,6449 MÉLYKÚT TÓPART U. 58,"13,708",2,"380,778"
18369,18366288,1,3,MÉLYKÚTI SZEDERINDA NÉPZENEI EGYESÜLET,6449 MÉLYKÚT PETŐFI TÉR 2,"284,083",35,"450,925"
18370,18264375,1,13,MEMENTO MORI,2626 NAGYMAROS NAGYHENC DŰLŐ 12085/3.,"353,275",30,"654,213"
18371,18783432,1,14,MEMENTO SOMOGY Alapítvány,7400 KAPOSVÁR MEZŐ U. 2,"26,691",2,"741,417"
18372,18697823,1,13,Mende Polgárőrség Egyesület,2235 MENDE FŐ U. 14,"188,884",16,"655,847"
18373,19026882,1,13,MENDEI ÁRVÁCSKÁK ALAPÍTVÁNY A GYERMEKEKÉRT,2235 MENDE DÓZSA GYÖRGY ÚT 184/A.,"97,830",13,"418,077"
18374,18293065,1,13,MENDEI LABDARÚGÓ SPORT EGYESÜLET,2235 MENDE FORRÁS KÖZ 1.,"125,749",8,"873,257"
18375,18750267,1,13,Mendei Óvodásokért Alapítvány,2235 MENDE FŐ UTCA 10.,"812,893",79,"571,655"
18376,18901126,1,13,Mendei Repülő Modellező Sport Közösség Egyesület,2235 MENDE DOBÓ ISTVÁN UTCA 22.,"162,992",11,"823,192"
18377,18058709,1,41,Menedék a Csúcshegy Barátainak Egyesület,1037 BUDAPEST SOLYMÁRVÖLGYI UTCA 94.,"63,489",4,"881,792"
18378,19004909,2,43,Menedék Alapítvány,1221 BUDAPEST LEÁNYKA UTCA 34. 3.em. 21.a.,"954,814",91,"582,915"
18379,18536694,1,8,Menedék Állatvédő Alapítvány,9200 MOSONMAGYARÓVÁR KÍGYÓ UTCA 4.,"8,577,330",875,"544,592"
18380,18072165,1,42,MENEDÉK -MIGRÁNSOKAT SEGITŐ EGYESÜLET,1066 BUDAPEST Ó UTCA 39. FSZ.em. 1.ajtó,"877,360",67,"727,496"
18381,18262304,1,41,MENEDÉKHÁZ Alapítvány,1045 BUDAPEST NAP UTCA 7.,"1,533,080",94,"906,076"
18382,18978645,1,42,Menedzserasszisztensek Magyarországi Egyesülete,1162 BUDAPEST SZÉNÁS UTCA 118.,"6,913",1,"384,056"
18383,18448454,1,5,Ménes-völgyi Tudásvető Alapítvány,3762 SZÖGLIGET DÓZSA GY. UTCA 29.,"207,194",23,"500,469"
18384,19101006,1,42,Menetszél Egyesület,1086 BUDAPEST DOBOZI UTCA 27. 2.em. 3.ajtó,"24,656",2,"684,889"
18385,18525656,1,8,Ménfőcsanaki evangélikus gyülekezetért alapítvány,9012 GYŐR GYŐRI ÚT 119.,"542,400",51,"590,850"
18386,18595570,1,8,Ménfőcsanaki Óvodáért Alapítvány,9012 GYŐR HORGAS UTCA 21.,"1,560,479",118,"734,689"
18387,19013213,1,42,MENHELY ALAPITVÁNY,1082 BUDAPEST VAJDAHUNYAD UTCA 3.,"11,683,035",724,"896,488"
18388,18000610,1,3,Menhely az Állatokért  Környezetvédelmi és Állatvédelmi  Közhasznú Alapítvány,6000 KECSKEMÉT KISFÁI TANYA 211/A.,"10,904,114","1,022","592,744"
18389,18346156,1,3,Menő Manó Alapítvány,6500 BAJA KINIZSI UTCA 1/B.,"214,001",33,"360,271"
18390,18110018,1,42,MENŐ MANÓK ALAPITVÁNY A SPECIÁLIS TANULÁSI ZAVAROKKAL KÜZDŐ GYERMEKEKÉRT,1153 BUDAPEST BOCSKAI UTCA 69.,"402,063",33,"676,874"
18391,18202135,1,18,MENŐ MANÓ KÖZHASZNÚ GYERMEKBARÁT EGYESÜLET,9915 KATAFA PETŐFI SÁNDOR ÚT 15.,"56,487",8,"392,271"
18392,18900235,1,42,MENŐK- Magyar Európai Nők Fóruma Egyesület,1063 BUDAPEST BAJNOK UTCA 13.,"285,936",18,"882,519"
18393,19375155,1,4,meNŐK Szabadidős Egyesület,5527 BUCSA KOSSUTH TÉR 6.,"76,361",9,"471,364"
18394,18632707,1,12,Mens Sana Alapítvány,3155 MÁTRAMINDSZENT VASÚT ÚT 10.,"98,360",4,"1,366,111"
18395,18063923,2,42,Mensa HungarIQa Egyesület,1063 BUDAPEST BAJNOK UTCA 13. IV.EM.em.,"3,354,807",192,"970,720"
18396,19129837,1,9,MENTÁL Szanatóriumi Alapítvány,4034 DEBRECEN SÓLYOM UTCA 51/B.,"108,777",11,"549,379"
18397,18383953,1,4,MENTÁLHIGIÉNÉS EGYESÜLET,5630 BÉKÉS BOROSGYÁN U. 1/1,"127,617",12,"590,819"
18398,19230322,1,17,MENTÁLHIGIÉNÉS MŰHELY,7100 SZEKSZÁRD SZENT ISTVÁN TÉR 10,"131,610",18,"406,204"
18399,18057368,1,41,MENTÁLIS FEJLESZTÉS ALAPITVÁNY,1021 BUDAPEST BUDENZ UTCA 20-22.,"926,669",59,"872,570"
18400,18333604,1,10,MENTÁL-MANKÓ ALAPÍTVÁNY,3323 SZARVASKŐ RÓZSA U. 43,"1,484",1,"82,444"
18401,18622090,1,3,MENTÁLMORFÓZIS ALAPÍTVÁNY,6500 BAJA ATTILA UTCA 18. 1.ajtó,"95,120",4,"1,321,111"
18402,18734081,1,43,MentaPRO Alapítvány a Cukorbetegséggel Élő Gyermekek Családjaiért,1223 BUDAPEST HUNYADI LÁSZLÓ UTCA 1. 1.A.ajtó,"506,228",47,"598,378"
18403,18522086,1,3,Méntelek Tanyaháromszög Egyesület,6008 KECSKEMÉT MÉNTELEK TANYA 205.,"275,858",4,"3,831,361"
18404,18347652,1,3,Ménteleki Általános Iskoláért és Óvodáért Alapítvány,6008 KECSKEMÉT KECSKEMÉTI UTCA 41.,"510,201",59,"480,415"
18405,18367904,1,3,MÉNTELEKI SPORTEGYESÜLET,6000 KECSKEMÉT FEHÉR AKÁC UTCA 3.,"166,512",13,"711,590"
18406,19082538,1,6,MENTÉS A JÖVÖÉRT ALAPITVÁNY,6722 SZEGED KOSSUTH LAJOS SUGÁRÚT 15-17.,"704,527",71,"551,273"
18407,19304656,1,42,Mentés Másként Alapítvány,1074 BUDAPEST VÖRÖSMARTY UTCA 17.,"65,041",5,"722,678"
18408,18527160,1,8,MENTES MIHÁLY ALAPITVÁNY,9431 FERTŐD MADÁCH SÉTÁNY .1.,"610,235",28,"1,210,784"
18409,19305884,1,13,"Mentésben és Egészségügyben Résztvevők Szabadidő, Horgász és Sportegyesület",2600 VÁC DEÁKVÁRI FŐ ÚT 58.,"183,434",13,"783,906"
18410,19327949,1,16,Mentetelenért Egyesület,5000 SZOLNOK ÜDÜLŐSOR UTCA 23.,"6,278",1,"348,778"
18411,19326292,1,10,Menthal Studio Alapítvány,3200 GYÖNGYÖS KOSSUTH LAJOS UTCA 18/1.,"404,364",59,"380,757"
18412,18284768,1,13,MentHáló Mentálhigiénés Közhasznú Egyesület,2083 SOLYMÁR KÖKÖRCSIN UTCA 9.,"369,001",22,"931,821"
18413,18627648,1,10,Menthető Végtagokért Alapítvány,3394 EGERSZALÓK FECSKE UTCA 42.,"272,207",23,"657,505"
18414,18908051,1,9,MENTHYON AKADÉMIA Alapítvány,4002 DEBRECEN NAGYCSERE TANYA 120.,"83,902",29,"160,732"
18415,18902921,1,13,MENTOR  Speciális Mentő és Tűzoltó Alapítvány,2244 ÚRI NAPSUGÁR UTCA 3.,"387,909",44,"489,784"
18416,18812930,1,15,MENTOR ALAPÍTVÁNY,4551 NYÍREGYHÁZA PETŐ UTCA 20.,"9,641",2,"267,806"
18417,19313135,1,15,Mentorállás Alapítvány,4400 NYÍREGYHÁZA KÖZÉP UTCA 5/B.,"242,435",21,"641,362"
18418,19280334,1,20,Mentor Közhasznú Alapítvány,8315 GYENESDIÁS BERZSENYI DÁNIEL ÚT 5/2. FSZ.em. 1.ajtó,"118,027",11,"596,096"
18419,18837108,1,16,Mentő és Tűzoltó Egyesület,5420 TÚRKEVE TÁNCSICS M. ÚT 1-3.,"363,780",36,"561,389"
18420,18875102,1,41,Mentőangyal Alapítvány,1042 BUDAPEST ÁRPÁD ÚT 44-46. I.em. 1.A.a.,"377,188",31,"675,964"
18421,18739275,1,9,Mentődolgozók Kulturális és Szabadidős Egyesülete,4031 DEBRECEN DERÉK UTCA 100. 7.em. 58.ajtó,"724,915",47,"856,874"
18422,18404052,1,5,Mentők a mentésért Alapítvány,3600 ÓZD ALKOTMÁNY UTCA 3. 1.em.,"1,472,319",133,"615,004"
18423,18498325,1,7,MENTŐK A MENTŐKÉRT MÓR ÉS TÉRSÉGE ALAPÍTVÁNY,8060 MÓR KÓRHÁZ U. 23,"1,425,291",124,"638,571"
18424,19338853,1,13,Mentők Egyesülete Dabas,2370 DABAS BARTÓK KÖZ 2519/2/B.,"1,415,565",138,"569,873"
18425,19321747,1,3,Mentők Kiskunmajsa és Térségéért Alapítvány,6120 KISKUNMAJSA PETŐFI S. UTCA 2/D.,"1,017,704",95,"595,149"
18426,18335589,1,12,MENTŐÖV ÁLLATVÉDŐ EGYESÜLET,3104 SALGÓTARJÁN BRÓDY SÁNDOR ÚT 2.,"3,025,578",263,"639,117"
18427,18250932,1,43,MENTŐÖV GYERMEKEINKÉRT 2002 ALAPÍTVÁNY,1098 BUDAPEST DÉSI HUBER UTCA 2. FSZ.em. 1.ajtó,"79,165",8,"549,757"
18428,18284500,1,43,Ments Életet Közhasznú Alapítvány,1098 BUDAPEST LOBOGÓ U. 10. III.ÉP. FSZT.EM. 2.AJTÓ,"3,286,658",294,"621,062"
18429,18618080,1,11,Ments Meg! Oroszlányi Állatvédő Egyesület,2840 OROSZLÁNY TAKÁCS IMRE UTCA 66.,"3,476,648",330,"585,294"
18430,18480627,1,7,MENTSVÁR ALAPITVÁNY,2483 GÁRDONY GÁRDONYI GÉZA UTCA 15.,"48,108",5,"534,533"
18431,18772872,1,14,Ments-vár Alapítvány a sérült gyermekek és fiatalok integrációjának elősegítésére,8600 SIÓFOK BÉRI BALOGH ÁDÁM UTCA 47. 1.em. 6.ajtó,"263,562",15,"976,156"
18432,18364004,1,3,Mentsvár az Állatokért és Környezetünkért Közhasznú Alapítvány,6000 KECSKEMÉT FUTÁR UTCA 43.,"9,642,415",865,"619,294"
18433,19064783,1,13,Menyecskehegyi Népdalkör,2614 PENC HATÁRSZILFA UTCA 15.,"32,476",4,"451,056"
18434,18787151,1,14,MENYEGZŐ ÉRTÉKŐRZŐ EGYESÜLET,8624 BALATONSZÁRSZÓ JÓKAI U. 41,"35,932",5,"399,244"
18435,18031742,1,4,MEOESZ Gyulai Kutyás Klub,5700 GYULA VÁSÁR U. 24,"130,679",12,"604,995"
18436,19639484,1,42,Mercator Movet Mundum Alapítvány,1087 BUDAPEST SZÖRÉNY UTCA 2-4.,"942,658",82,"638,657"
18437,18520369,1,20,Mercy Magyar Hagyományőrző és Szeretetszolgálat Nemzetközi Egyesület,8900 ZALAEGERSZEG LUKAHEGYI ÚT 4.,"47,084",6,"435,963"
18438,18711262,1,13,Merczel Erzsébet Alapítvány,2225 ÜLLŐ KISTEMETŐ UTCA 1.,"64,952",6,"601,407"
18439,18813591,2,15,Merd Magánerdőkért Egyesület,4400 NYÍREGYHÁZA KÓTAJI ÚT 35.,"145,479",9,"898,019"
18440,18781193,1,14,MERENA HORGÁSZ EGYESÜLET,7400 KAPOSVÁR TÓKAJI UTCA 42.,"192,281",19,"562,225"
18441,19402376,1,17,Merengő Egyesület,7146 VÁRDOMB HEGYALJA UTCA 40.,"222,651",12,"1,030,792"
18442,19152370,1,10,Mérföld Alapítvány,3371 ÁTÁNY II. RÁKÓCZI FERENC ÚT 42.,"15,535",1,"863,056"
18443,18517446,1,15,Mérföldkő Egyenlő Esélyekért Egyesület,4335 KÁNTORJÁNOSI DÓZSA GY. UTCA 19/A.,"18,274",2,"507,611"
18444,18316551,1,2,MÉRFÖLDKŐ EGYESÜLET,7678 KOVÁCSSZÉNÁJA FŐ UTCA 24.,"798,336",67,"661,970"
18445,18991378,1,9,MERIDIÁN TÁJ-ÉS KÖRNYEZETFÖLDRAJZI ALAPÍTVÁNY,4032 DEBRECEN EGYETEM TÉR 1.,"68,861",4,"956,403"
18446,18477649,1,6,MERITUM KULTURÁLIS ÉS MŰVELŐDÉSI KÖZHASZNÚ EGYESÜLET,6729 SZEGED VERSECI UTCA 55.,"304,795",22,"769,684"
18447,19347143,1,6,Meritus Egyesület,6724 SZEGED GELEI JÓZSEF UTCA 3. 2.em. 5.ajtó,"115,906",5,"1,287,844"
18448,18202654,1,18,MER-KA-BA EGÉSZSÉGVÉDŐ ALAPÍTVÁNY,9700 SZOMBATHELY RÁKÓCZI F. UTCA 68.,"16,926",2,"470,167"
18449,18191004,1,42,MERKAPT MARATON TEAM SPORTEGYESÜLET,1106 BUDAPEST MAGLÓDI ÚT 12/B,"163,956",15,"607,244"
18450,18711107,1,13,Merkapt-Mekler László Sport Egyesület Dunavarsány,2336 DUNAVARSÁNY HALÁSZ LAJOSNÉ UTCA 28/A.,"405,331",35,"643,383"
18451,18340019,1,3,MERKBAU OKTATÁSI ALAPÍTVÁNY,6345 NEMESNÁDUDVAR PETŐFI S. UTCA 40.,"77,627",6,"718,769"
18452,18086230,1,41,Mérleg Egyesület,1038 BUDAPEST MEZŐ UTCA 12/2.,"79,883",4,"1,109,486"
18453,19348948,1,8,Merlin Művészeti és Sportegyesület,9200 MOSONMAGYARÓVÁR SUGÁRKANKALIN UTCA 16.,"62,700",9,"387,037"
18454,18979866,1,42,Mérnökmisszió Alapítvány,1163 BUDAPEST SOMOSKŐ UTCA 1. 1.AJTÓ.em.,"150,144",8,"1,042,667"
18455,18419582,1,5,Mérnökök  a  Környezetbarát energiafelhasználásért Alapítvány,3515 MISKOLC EGYETEMVÁROS .,"177,600",4,"2,466,667"
18456,18647615,1,42,Mérnökök és Technikusok Egymásért Alapítvány,1087 BUDAPEST KEREPESI ÚT 3.,"597,188",34,"975,797"
18457,18889394,1,18,MERSEVÁTI IFJÚSÁGI BARÁTI EGYESÜLET,9531 MERSEVÁT DÓZSA U. 1,"140,836",12,"652,019"
18458,18880058,1,18,Merseváti Sportegyesület,9531 MERSEVÁT DÓZSA UTCA 1.,"149,325",17,"487,990"
18459,18757453,1,8,M-ért Egyesület,9183 MOSONSZENTMIKLÓS VITÉZ ÚT 22.,"54,058",3,"1,001,074"
18460,18734830,1,13,MESE Mindenki Egyért Sportegyesület,2225 ÜLLŐ JÓKAI UTCA 11.,"67,496",8,"468,722"
18461,18557167,1,9,MESEERDŐ ALAPÍTVÁNY,4150 PÜSPÖKLADÁNY ÁRPÁD UTCA 18.ÁRPÁD ÓVODA.,"64,567",7,"512,437"
18462,18647309,1,9,Mesefalva Alapítvány,4220 HAJDÚBÖSZÖRMÉNY MESTER UTCA 26.,"619,616",60,"573,719"
18463,19676449,1,41,Meseforrás- Dósa utcai Óvodásokat Támogató Alapítvány,1031 BUDAPEST DÓSA UTCA 4.,"825,553",70,"655,201"
18464,18672655,1,13,Meseház Alapítvány,2030 ÉRD GELLÉRT UTCA 2.,"354,443",35,"562,608"
18465,18335895,1,20,Meseház Bölcsődéért Alapítvány,8800 NAGYKANIZSA ATTILA U. 7,"59,020",6,"546,481"
18466,18008728,1,42,MESEHÁZ GYERMEK ALAPITVÁNY,1143 BUDAPEST ŐRNAGY UTCA 11.,"249,814",23,"603,415"
18467,18896400,1,18,Meseház Ovi Alapítvány,9783 EGYHÁZASRÁDÓC KOSSUTH UTCA 82.,"240,941",29,"461,573"
18468,18709058,1,13,MESEHÁZ ÓVÓDAI ALAPÍTVÁNY,2316 TÖKÖL ISKOLA UTCA 11/A.,"128,599",13,"549,568"
18469,19059985,1,4,MESEHÁZI ALAPITVÁNY,5600 BÉKÉSCSABA BÉKÉSI U. 17,"165,368",14,"656,222"
18470,18585368,1,10,MESEHÁZIKÓ ALAPÍTVÁNY A GYERMEKSZÍNJÁTSZÁSÉRT,3200 GYÖNGYÖS JERUZSÁLEM ÚT 4/1.,"98,138",9,"605,790"
18471,18678613,1,13,Mesék Háza Alapítvány,2100 GÖDÖLLŐ SZT. JÁNOS UTCA 6-8.,"215,849",19,"631,137"
18472,18285831,1,41,Mesék Világa Egyesület,1039 BUDAPEST ZSIRAI MIKLÓS UTCA 13. VI.em. 18.ajtó,"36,005",4,"500,069"
18473,18735697,1,14,Mesék Völgye Alapítvány,8676 KARÁD DANJANICH UTCA 38.,"168,621",20,"468,392"
18474,18096882,1,43,MESEKERT ALAPÍTVÁNY,1119 BUDAPEST MÉRNÖK UTCA 42.,"411,716",22,"1,039,687"
18475,19346207,1,17,MESÉL AZ ERDŐ Bölcsődei Alapítvány,7100 SZEKSZÁRD VENYIGE UTCA 14.,"287,823",33,"484,551"
18476,18518894,1,13,MESELIGET BÖLCSŐDE ALAPÍTVÁNY,2112 VERESEGYHÁZ GYERMEKLIGET ÚT 34-36.,"473,314",38,"691,980"
18477,18492587,1,7,MESELIGET OVODASAIERT ALAPITVANY,2481 VELENCE SZENT ERZSÉBET TÉR 1.,"1,638,996",136,"669,525"
18478,19339940,1,5,Mesemalom Bölcsőde Alapítvány,3525 MISKOLC DÓZSA GYÖRGY UTCA 36.,"334,585",34,"546,708"
18479,18429419,1,5,MESERÉT ALAPÍTVÁNY,3779 ALACSKA KOSSUTH ÚT 50/A.,"149,499",16,"519,094"
18480,19318381,1,15,Meserét Manóiért Alapítvány,4495 DÖGE OSVÁTH TÉR 3.,"224,313",20,"623,092"
18481,19321235,1,20,Mesés Hetés Egyesület,8969 BÖDEHÁZA PETŐFI ÚT 40.,"71,819",8,"498,743"
18482,18569254,1,41,MESÉSKERT KÖRNYEZETI NEVELÉSI ALAPÍTVÁNY,1134 BUDAPEST KASSÁK LAJOS UTCA 17.,"1,151,827",67,"955,080"
18483,18618619,1,42,Meseszó Magyar Mesemondó és Szövegfolklór Egyesület,1165 BUDAPEST CSENKESZ UTCA 36.,"149,649",11,"755,803"
18484,19345880,1,13,MESEUDVAR Alapítvány,2318 SZIGETSZENTMÁRTON CSALÁD UTCA 2.,"86,949",10,"483,050"
18485,18717505,1,13,MESEVÁR A GYERMEKEKÉRT ALAPÍTVÁNY,2230 GYÖMRŐ KOSSUTH FERENC U. 24,"645,837",56,"640,711"
18486,18243280,1,43,MESE-VÁR ALAPÍTVÁNY,1196 BUDAPEST ZRINYI UTCA 154.,"1,488,451",36,"2,296,992"
18487,18856497,1,17,MESEVÁR ALAPÍTVÁNY AZ IFJÚSÁG ÚT 6. SZÁM ALATTI ÓVÓDÁÉRT,7030 PAKS IFJÚSÁG UTCA 6.,"381,587",32,"662,477"
18488,18251799,1,43,MESEVÁR NEVELÉSI OKTATÁSI ÉS KULTURÁLIS ALAPÍTVÁNY,1126 BUDAPEST ORBÁNHEGYI ÚT 3/A.,"551,201",30,"1,020,743"
18489,18389605,1,4,MESEVÁR ÓVODA ALAPÍTVÁNY,5919 PUSZTAFÖLDVÁR SZABADSÁG TÉR 2,"188,521",27,"387,903"
18490,18894587,1,18,MESEVÁR ÓVODA GYERMEKEIÉRT EGYESÜLET,9700 SZOMBATHELY GAGARIN UTCA 10.,"477,127",38,"697,554"
18491,18431269,1,5,MESEVÁR ÓVODA GYERMEKEIÉRT Alapítvány,3700 KAZINCBARCIKA POLLACK MIHÁLY ÚT 7.,"191,770",23,"463,213"
18492,18956425,1,20,MESEVARÁZS ALAPÍTVÁNY A CSERSZEGTOMAJI NAPKÖZIOTTHONOS ÓVODA GYERMEKEIÉRT,8372 CSERSZEGTOMAJ ISKOLA ÚT 17,"220,907",30,"409,087"
18493,18277494,1,19,MESEVILÁG Tagóvoda Gyermekeiért Alapítvány,8230 BALATONFÜRED HUNYADI ÚT 24.,"143,058",30,"264,922"
18494,18711035,1,13,MESEVIRÁG-GYERMEKVILÁG EGYESÜLET,2000 SZENTENDRE RÓZSA U. 9/A,"225,184",17,"735,895"
18495,18478750,1,18,Meskete Gyermek Alapítvány,9700 SZOMBATHELY SZÖVŐ UTCA 39.,"42,615",3,"789,167"
18496,18131354,1,41,Messzehangzó Tehetségek Alapítvány,1011 BUDAPEST HUNYADI JÁNOS ÚT 13,"229,116",11,"1,157,152"
18497,19338633,1,43,Messzelátó Alapítvány,1182 BUDAPEST NEMESKE UTCA 21/A.,"197,785",14,"784,861"
18498,18382244,1,42,MESSZELÁTÓ EGYESÜLET,1071 BUDAPEST DEMBINSZKY UTCA 4. FSZ.em. 6.a.,"11,316",2,"314,333"
18499,18639821,1,12,MESTER MOTORSPORT CLUB,3131 SÓSHARTYÁN PETŐFI ÚT 12.,"559,097",65,"477,861"
18500,18468579,1,6,Mester Tanoda Alapítvány,6724 SZEGED BÁLINT SÁNDOR UTCA 14.,"65,766",6,"608,944"
18501,19207212,1,15,MESTER 138 ALAPÍTVÁNY,4700 MÁTÉSZALKA BAROSS ÚT 9-11.,"491,833",29,"942,209"
18502,19100964,1,2,MESTERHÁRMAS DARTS CLUB,7940 SZENTLŐRINC DEÁK FERENC UTCA 16.,"85,807",10,"476,706"
18503,18731617,1,18,"Mesteri ""Borbarátok"" Ság Hegyért Egyesülete",9551 MESTERI . HRSZ 1006/2.,"112,711",14,"447,266"
18504,18898794,1,18,Mesteri Football Club,9551 MESTERI ÚJVILÁG U. 1,"9,713",1,"539,611"
18505,19319478,1,13,Mesteristák Sportolásáért és Tanulmányaiért Alapítvány,2045 TÖRÖKBÁLINT SZENT LÁSZLÓ TÉR 7.,"313,513",28,"622,050"
18506,19672933,1,41,MESTERSÉGEK ISKOLÁJA ALAPITVÁNY,1046 BUDAPEST BŐRFESTŐ UTCA 5-9/ÁLT.ISKOLA.,"1,466,554",105,"775,954"
18507,18834617,1,16,Mesterszállás Községi Önkéntes Tűzoltó és Önkéntes Mentőszervezet Egyesület,5452 MESTERSZÁLLÁS SZABADSÁG ÚT 26.,"682,883",77,"492,701"
18508,18759314,1,7,Mészáros Alapítvány,8086 FELCSÚT BELTERÜLET HRSZ 0311/5.,"148,456",7,"1,178,222"
