Sorszám,Adószám,,,Név,Székhely,Felajánlott összeg (Ft),Felajánlók száma (fő),Havi bruttó átlagbér (Ft)
56,18490815,1,7,A bicskei Csokonai Vitéz Mihály Általános Iskola tanulóiért Alapítvány,2060 BICSKE SZENT ISTVÁN UTCA 42.,"600,333",38,"877,680"
57,18494486,1,7,A BICSKEI SZENT LASZLO ALTALANOS ISKOLAERT ES NEBULOIERT ALAPITVANY,2060 BICSKE PROHASZKA U 3,"1,183,350",108,"608,719"
58,19125383,1,9,A BIOGAL Gyógyszergyár Dolgozóiért  Alapítvány,4042 DEBRECEN PALLAGI UT 13,"87,392",7,"693,587"
59,18979615,1,43,A bizánci források kutatása dr. Berki Feríz protopresbiter nyomdokában a magyar orthodoxia terjesztésére Egyesület,1121 BUDAPEST TÜCSÖK UTCA 4.,"189,163",16,"656,816"
60,18180602,1,42,A BKV ELŐRE SC SZABADIDŐSPORTJÁÉRT ALAPÍTVÁNY,1087 BUDAPEST SPORT UTCA 2.,"426,494",24,"987,255"
61,18891670,1,18,A Bobai Evangélikus Templomért Alapítvány,9542 BOBA JÓZSEF A. U. 24,"452,769",24,"1,048,076"
62,19127598,1,9,A BOCSKAI ISKOLÁÉRT ALAPITVÁNY,4130 DERECSKE SZOVÁTI ÚT 2.,"1,887,587",259,"404,888"
63,18436707,1,5,"A ""Bodrogköz Tájmúzeumáért"" Alapítvány",3973 CIGÁND FŐ ÚT 54,"220,818",15,"817,844"
64,18426746,1,5,a Bodrogolaszi Községben tanuló gyermekekért Alapítvány,3943 BODROGOLASZI RÁKÓCZI UTCA 1.,"254,144",14,"1,008,508"
65,18606216,1,11,A Bokodi Evangélikus Gyülekezetért Alapítvány,2855 BOKOD FŐ UTCA 25.,"378,469",34,"618,413"
66,18609862,1,11,A Bokodi Fő úti Óvodáért Alapitvány,2855 BOKOD FŐ UTCA 47/A.,"633,372",65,"541,344"
67,18824773,1,16,A BOLDOG GYERMEKEKÉRT Alapítvány,5435 MARTFŰ MÁJUS 1. ÚT 2.,"2,305,102",161,"795,411"
68,19702236,1,42,A BOLDOG ISKOLÁSÉVEKÉRT ALAPITVÁNY,1077 BUDAPEST DOB UTCA 85.,"1,370,326",101,"753,755"
69,18066641,1,41,A Boldog Születésért Alapítvány,1012 BUDAPEST MÁRVÁNY UTCA 20. 6.EM.em. 1.ajtó,"213,746",11,"1,079,525"
70,18817052,1,15,A BOLDOGABB CSALÁDOKÉRT TISZAVASVÁRIBAN,4440 TISZAVASVÁRI HŐSÖK ÚT 38,"150,784",16,"523,556"
71,19220794,1,16,A Boldogházi Gyermekekért Közhasznú Alapítvány,5144 JÁSZBOLDOGHÁZA RÁKÓCZI F. UTCA 27.,"1,428,330",172,"461,347"
72,18552485,1,9,A Bólyai János Általános Iskola Jövőjéért Alapítvány,4032 DEBRECEN BÓLYAI UTCA 29.,"688,563",52,"735,644"
73,18453568,1,6,"A ""BOROSS JÓZSEF UTCAI ÓVODÁÉRT"" ALAPÍTVÁNY",6724 SZEGED BOROSS JÓZSEF UTCA 25.,"264,525",22,"667,992"
74,18423877,1,5,A bőcsi gyermekekért Alapítvány,3574 BŐCS KOSSUTH ÚT 1.,"672,065",87,"429,160"
75,18453348,1,6,A BÖLCSÖDÉS GYERMEKEKÉRT ALAPITVÁNY,6800 HÓDMEZŐVÁSÁRHELY HÓVIRÁG UTCA 7.,"499,588",58,"478,533"
76,18461761,1,6,A Bőrgyógyászati Haladásért Szeged Alapítvány,6720 SZEGED KORÁNYI FASOR 6-8.,"489,838",29,"938,387"
77,18555770,1,9,A Brassai Sámuel Műszaki Középiskola Jövőjéért Alapítvány,4029 DEBRECEN VÍZTORONY UTCA 3.,"752,738",63,"663,790"
78,18381975,1,4,A BUCSAI ÓVODÁSOKÉRT -GONDTALAN GYERMEKKOR ALAPITVÁNY,5527 BUCSA KOSSUTH TÉR 9,"583,734",73,"444,242"
79,19666385,1,41,A BUDAPEST BANK BUDAPESTÉRT ALAPITVÁNY,1138 BUDAPEST VÁCI ÚT 193.A/1. I.em.,"5,234",1,"290,778"
80,18061488,1,42,A BUDAPEST VI.KER.SZENT CSALÁD TEMPL.FELUJÍTÁSÁT ÉS KAT.HITOKT.TÁM.ALAPÍTVÁNY,1062 BUDAPEST BAJZA UTCA 56. FSZT.em. 1.a.,"271,320",24,"628,056"
81,18432655,1,5,A BULGÁRFÖLDI ÓVODÁS GYERMEKEKÉRT ALAPITVÁNY,3534 MISKOLC FAZOLA H. UTCA 4.,"17,460",2,"485,000"
82,18158665,1,42,A Bulyovszky utcai Óvoda Gyermekeiért,1174 BUDAPEST BULYOVSZKY UTCA 10.,"225,807",20,"627,242"
83,18730623,1,5,A Carolina Óvoda és Bölcsőde Gyermekeiért Alapítvány,3950 SÁROSPATAK ZRÍNYI UTCA 40.,"557,445",65,"476,449"
84,18869073,1,18,A celli kékszellem Közhasznú Alapítvány,9500 CELLDÖMÖLK SZENTHÁROMSÁG TÉR 6. FSZT.em. 3.a.,"19,483",3,"360,796"
85,19283021,1,20,A Civilekért az Európai Unióban Egyesület,8868 LETENYE CSALLÓKÖZ UTCA 6.,"20,004",2,"555,667"
86,19250234,1,43,A Coaching Mindenkié Egyesület,1096 BUDAPEST HALLER UTCA 60. II.LPH.lh. IV.em. 15.ajtó,"308,038",21,"814,915"
87,18805336,1,15,A Contisokért Alapítvány,4400 NYÍREGYHÁZA DERKOVITS U. 137,"152,735",11,"771,389"
88,18546992,1,9,A cukorbeteg is teljes értékű ember Alapítvány,4225 DEBRECEN ALKOTÁS UTCA 124.,"65,028",7,"516,095"
89,18918201,1,19,A cukorbetegekért Alapítvány Várpalota,8100 VÁRPALOTA JÓKAI MÓR UTCA 11. 2.em. 7.ajtó,"247,603",24,"573,155"
90,18569364,1,9,A CSALÁD A JÖVÖ ALAPJA KÖZHASZNÚ ALAPÍTVÁNY,4032 DEBRECEN BORBÍRÓ TÉR 9.,"309,496",24,"716,426"
91,18698525,1,13,A CSALÁD BOLDOGSÁGÁÉRT 2002 ALAPÍTVÁNY,2013 POMÁZ SZERB UTCA 2/A.,"3,315",1,"184,167"
92,18986350,1,8,A CSALÁDI NAPKÖZIS GYERMEKEKÉRT ALAPÍTVÁNY,9400 SOPRON HEGYHÁT U. 8,"101,983",17,"333,278"
93,18960758,1,20,A Csányi-Zrínyi Általános Iskola Diákjaiért Alapítvány,8790 ZALASZENTGRÓT KOSSUTH L. ÚT 11.,"282,791",34,"462,077"
94,18353729,1,3,A Csátaljai Iskoláért Alapítvány,6523 CSÁTALJA KOSSUTH UTCA 1.,"99,593",14,"395,210"
95,18203538,1,9,A Cselekvő Társadalomért Egyesület,4030 DEBRECEN ÓVODA UTCA 12.,"83,454",9,"515,148"
96,18833094,1,16,A CSÉPAI ISKOLÁSOKÉRT ALAPÍTVÁNY,5475 CSÉPA BÉKE UTCA 118/B.,"144,723",7,"1,148,595"
97,18909258,1,43,A Csepeli Kossuth Diákjaiért Alapítvány,1211 BUDAPEST KOSSUTH LAJOS UTCA 12.,"1,025,555",92,"619,296"
98,18885936,1,18,A Csepregi Óvodásokért Alapítvány,9735 CSEPREG NÁDASDY UTCA 15.,"298,465",38,"436,352"
99,18421150,1,5,A Cserépfalui Gyülekezetért Alapítvány,3413 CSERÉPFALU KOSSUTH UTCA 103.,"423,859",35,"672,792"
100,18346084,1,3,A Cserkészetért Alapítvány,6000 KECSKEMÉT SZENT IMRE UTCA 9.,"234,684",25,"521,520"
101,18797129,1,15,A Csillag gyermekeiért Alapítvány,4600 KISVÁRDA CSILLAG KÖZ 2.,"346,853",39,"494,093"
102,18488209,1,7,A CSOKAKOI ALTALANOS ISKOLAERT ALAPITVANY,8074 CSÓKAKŐ PETŐFI UTCA 5.,"573,423",40,"796,421"
103,18995815,1,9,A CSOKONAI GIMNÁZIUM OLASZ TAGOZATÁÉRT ALAPÍTVÁNY,4032 DEBRECEN BÉKESSY BÉLA UTCA 12.,"440,008",46,"531,411"
104,18420575,1,5,A Csokonai úti Óvoda Gyermekeiért  Alapítvány,3700 KAZINCBARCIKA CSOKONAI UTCA 1.,"412,867",38,"603,607"
105,18542149,1,9,A Csokonai Vitéz Mihály Gimnázium Pedagógusaiért és Diákjaiért Alapítvány,4032 DEBRECEN BÉKESSY BÉLA UTCA 12.,"808,340",70,"641,540"
106,18898134,1,18,A CSOPORTOS ZENEOKTATÁSÉRT EGYESÜLET,9700 SZOMBATHELY ADY TÉR 5.,"279,888",29,"536,184"
107,18737455,1,8,A Csornai Premontrei Apátságért és Intézményeiért Alapítvány,9300 CSORNA SOPRONI ÚT 65.,"314,648",27,"647,424"
108,18536278,1,8,A Csornai Széchenyis Diákokért Alapítvány,9300 CSORNA ÁRPÁD UTCA 2.,"254,436",29,"487,425"
109,18017506,1,4,A Csorvási Óvodásokért Alapítvány,5920 CSORVÁS BOCSKAI UTCA 2.,"895,727",109,"456,538"
110,18542682,1,9,A Csökkentlátó Gyermekekért Alapítvány,4031 DEBRECEN SÜTŐ ANDRÁS UTCA 3.,"704,556",53,"738,528"
111,19124131,1,9,A Csökmői Általános Iskola Fejlődéséért Alapítvány,4145 CSÖKMŐ ALKOTMÁNY UTCA 2.,"286,944",41,"388,813"
112,18611045,1,11,A Dadi Óvodáért Alapítvány,2854 DAD FŐ UTCA 27.,"302,790",28,"600,774"
113,18296611,1,8,A DARNÓZSELI SZENT JÓZSEF TEMPLOMÉRT ALAPÍTVÁNY,9232 DARNÓZSELI FŐ UTCA 30.,"177,912",13,"760,308"
114,18985287,1,8,A Deák Ferenc Iskola Diákjaiért Alapítvány,9144 KÓNY BÉKE UTCA 1.,"772,195",91,"471,426"
115,18544608,1,9,A DEBRECENI CSECSEMŐOTTHONÉRT ALAPÍTVÁNY,4025 DEBRECEN PIAC UTCA 73. FSZ.em. 6.ajtó,"1,638,054",159,"572,346"
116,18143764,1,9,A DEBRECENI EGYETEM FEJLESZTÉSÉÉRT ALAPÍTVÁNY,4028 DEBRECEN TÜZÉR UTCA 4.,"1,958,690",116,"938,070"
117,18998784,1,9,A Debreceni Egyetem Zeneművészeti Kar Fejlesztéséért Alapítvány,4032 DEBRECEN EGYETEM TÉR 1.,"144,145",9,"889,784"
